Model,Cut-off Threshold,Jaccard,,,cosine TF-IDF,,,cosine Term Count,,,,,,,,,,,,,,,,,
,,Mean PMI,Median PMI,Reconstruct-ion Loss,Mean PMI,Median PMI,Reconstruct-ion Loss,Mean PMI,Median PMI,Reconstruct-ion Loss,,,,,,,,,,Cut-off Threshold,% above cut off,,% above cut off,,% above cut off
GTNN,0,0.10,0.08,1.98,0.10,0.08,1.98,0.10,0.08,1.98,,,,,,,,,,0,89.6,,89.5,,89.5
,0.51,0.10,0.09,2.08,0.09,0.08,2.00,0.10,0.08,1.99,,,,,,,,,,0.51,62.1,,9.3,,89.1
,0.52,0.21,0.13,2.06,0.08,0.06,1.98,0.09,0.08,2.06,,,,,,,,,,0.52,15.2,,3.1,,71.9
,0.53,0.15,0.13,2.16,0.22,0.15,2.05,0.09,0.08,2.09,,,,,,,,,,0.53,5.4,,1.2,,42.4
,0.54,0.11,0.08,2.36,0.14,0.11,2.24,0.21,0.17,2.07,,,,,,,,,,0.54,2.0,,0.5,,22.9
,0.55,0.10,0.08,2.60,0.11,0.10,2.49,0.20,0.22,2.07,,,,,,,,,,0.55,0.7,,0.3,,13.0
,,0.13,0.10,2.21,0.12,0.10,2.12,0.13,0.12,2.04,,,,,,,,,,,,,,,
MyModel,0,0.09,0.04,2.20,0.09,0.04,2.20,0.09,0.04,2.20,,,,,,,,,,,,,,,
,0.51,0.09,0.03,2.31,0.09,0.04,2.26,0.09,0.04,2.20,,,,,,,,,,# relevant tweets,2736,,,,
,0.52,0.18,0.15,2.30,0.08,0.04,2.23,0.09,0.03,2.28,,,,,,,,,,# rel tweets 2013 - 2017,1163,,,,
,0.53,0.12,0.12,2.32,0.17,0.13,2.25,0.10,0.04,2.33,,,,,,,,,,# rel tweets 2018-2022,1573 ,,,,
,0.54,0.11,0.10,2.44,0.10,0.10,2.33,0.19,0.15,2.31,,,,,,,,,,,,,,,
,0.55,0.10,0.07,2.55,0.09,0.07,2.47,0.19,0.16,2.30,,,,,,,,,,,,,,,
,,0.12,0.09,2.35,0.10,0.07,2.29,0.13,0.08,2.27,,,,,,,,,,,,,,,
